freq,product,currency,unit,indic_en,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,4100,EUR,GJ_GCV,MSHH,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0000 e	0.0000 e
A,4100,EUR,GJ_GCV,MSHH,AT	19.29 	21.05 	21.32 	20.78 	20.28 	19.17 	18.71 	18.5850 	18.3400 	17.9895 	17.6667 	21.2942 
A,4100,EUR,GJ_GCV,MSHH,BA	12.551 	15.4082 	15.4082 	14.2347 	14.265 	10.8598 	8.5335 	9.0462 	9.3109 	10.3855 	8.9115 	12.1719 
A,4100,EUR,GJ_GCV,MSHH,BE	17.6 	19.13 	18.32 	18.27 	16.23 	15.19 	14.5114 	14.8847 	15.3755 	13.7697 	13.0023 	26.1811 
A,4100,EUR,GJ_GCV,MSHH,BG	11.944 	13.7233 	14.2397 	13.6261 	13.258 	10.226 	9.1778 	10.5356 	12.4631 	11.0110 	10.2154 	21.2110 
A,4100,EUR,GJ_GCV,MSHH,CZ	15.1247 	18.3111 	17.8029 	15.2285 	15.9493 	16.1879 	15.2685 	15.9675 	16.2682 	15.9069 	15.6045 	19.3386 
A,4100,EUR,GJ_GCV,MSHH,DE	16.34 	17.7 	18.35 	18.84 	18.78 	18.36 	16.98 	16.9010 	17.5503 	16.5765 	17.9618 	22.3901 
A,4100,EUR,GJ_GCV,MSHH,DK	28.6448 	27.2187 	27.5854 	25.2216 	25.5584 	23.1489 	24.672 	24.2095 	23.7451 	20.8287 	24.8473 	41.9111 
A,4100,EUR,GJ_GCV,MSHH,EE	11.64 	13.88 	14.57 	13.64 	12.67 	9.62 	11.6133 	11.1426 	12.7321 	12.2553 	12.0958 	30.7210 
A,4100,EUR,GJ_GCV,MSHH,EL	: 	: 	21.44 	20.09 	18.92 	15.68 	15.55 p	14.7900 e	15.4049 	13.4132 	12.4844 	22.8074 
A,4100,EUR,GJ_GCV,MSHH,ES	14.89 	18.37 	20.34 	20.9 	20.32 	18.82 	18.52 	18.4751 	20.4438 	19.9309 	19.2038 	24.9262 
A,4100,EUR,GJ_GCV,MSHH,EU27_2020	16.8116 	18.265 	19.2124 	19.0471 	18.6755 	17.8671 	17.0916 	17.4057 	18.6101 	17.8380 	17.7219 	23.9269 
A,4100,EUR,GJ_GCV,MSHH,FR	16.11 	17.63 	18.83 	19.47 	19.46 	18.05 	17.7413 	18.4662 	20.4950 	19.9882 	19.1936 	23.8741 
A,4100,EUR,GJ_GCV,MSHH,GE	: 	: 	: 	: 	: 	: 	: 	4.1884 	4.2009 	3.8702 	3.2618 	4.2051 
A,4100,EUR,GJ_GCV,MSHH,HR	10.4211 	10.6438 	12.9191 	12.8979 	13.1265 	11.9036 	9.9689 	10.2119 	10.4238 	10.7964 	10.4009 	11.4568 
A,4100,EUR,GJ_GCV,MSHH,HU	15.5718 	13.4294 	12.0104 	10.1466 	9.8029 	9.5613 	9.7764 	9.9528 	9.6017 	8.8602 	8.5200 	8.0851 
A,4100,EUR,GJ_GCV,MSHH,IE	14.14 	17.06 	18.15 	18.92 	18.7 	18.12 	17.56 	17.5565 	18.9702 	18.5834 	17.2221 	23.5275 
A,4100,EUR,GJ_GCV,MSHH,IT	19.27 	21.36 	23.17 	22.14 	21.27 	20.32 	19.56 	19.8447 	21.3645 	20.2286 	19.5362 	27.3987 
A,4100,EUR,GJ_GCV,MSHH,LI	: 	: 	: 	22.678 	25.3644 	23.4843 	20.6548 	18.9248 	20.9020 	21.8681 	19.8061 	31.3378 
A,4100,EUR,GJ_GCV,MSHH,LT	12.0743 	14.1653 	16.7458 	15.5381 	11.75 	11.47 	10.14 	11.0900 	12.5096 	10.0391 	7.7413 	16.3136 
A,4100,EUR,GJ_GCV,MSHH,LU	14.19 	16.06 	17.34 	14.78 	13.77 	12.62 	11.6 	11.4113 	12.4363 	11.4407 	12.1704 	23.7674 
A,4100,EUR,GJ_GCV,MSHH,LV	10.7489 	14.2346 	14.0521 	13.45 	13.77 	11.78 	10.49 	10.6955 	12.3797 	8.7451 	8.2612 	12.8343 
A,4100,EUR,GJ_GCV,MSHH,MD	: 	: 	: 	: 	8.8964 	8.3841 	8.5568 	7.0567 	8.2542 	8.4028 	6.7453 	23.3797 
A,4100,EUR,GJ_GCV,MSHH,MK	: 	: 	: 	: 	: 	: 	13.3826 	11.3051 	16.6248 	15.1059 	13.5604 	33.6063 
A,4100,EUR,GJ_GCV,MSHH,NL	19.15 	20.57 	21.96 	21.91 	21 	21.65 	21.2 	22.6482 	25.5701 	27.6403 	26.6970 	34.5436 
A,4100,EUR,GJ_GCV,MSHH,PL	12.8719 	13.0187 	13.0548 	13.5867 	13.9067 	10.8795 	11.5706 	11.7608 	13.1310 	11.8064 	10.4510 	15.2502 
A,4100,EUR,GJ_GCV,MSHH,PT	16.95 	20.52 	23.23 	25.96 	27.11 	25.35 	21.47 	21.0716 	21.1189 	21.8115 	21.1719 	23.2423 
A,4100,EUR,GJ_GCV,MSHH,RO	7.8981 	7.5171 	7.9114 	8.5798 	8.6513 	9.2248 	8.4119 e	8.9029 e	9.6370 e	8.9980 e	8.7997 e	16.9686 e
A,4100,EUR,GJ_GCV,MSHH,RS	: 	: 	11.3797 	11.8775 	12.9555 	10.4111 	8.9038 	9.2960 	9.3018 	9.3644 	9.3564 	9.3466 
A,4100,EUR,GJ_GCV,MSHH,SE	32.9372 	32.6035 	34.088 	32.8982 	31.4312 	31.3541 	33.6762 	32.0246 	32.8557 	36.1235 	39.9512 	61.5534 e
A,4100,EUR,GJ_GCV,MSHH,SI	18.56 	22.16 	18.57 	18.54 	17.48 	16.65 	15.35 	15.1814 	15.8903 	16.2754 	15.1826 	19.1926 
A,4100,EUR,GJ_GCV,MSHH,SK	12.93 	14.32 	13.85 	14.1 	13.78 	12.78 	11.7 	11.8680 	12.4680 	12.7040 	11.4100 	13.5520 
A,4100,EUR,GJ_GCV,MSHH,TR	8.019 	8.8412 	11.3538 	9.0523 	10.5087 	9.3251 	7.1767 	5.9880 	5.5325 	6.6503 	5.2567 	4.7256 
A,4100,EUR,GJ_GCV,MSHH,UA	: 	: 	: 	: 	: 	5.0423 	6.4222 	5.7928 	7.4172 	5.0284 	7.5955 	: 
A,4100,EUR,GJ_GCV,MSHH,UK	11.8047 	14.4972 	14.7385 	16.6567 	17.6453 	15.3614 	13.0373 	12.9290 	13.7056 	13.2185 	: 	: 
A,4100,EUR,GJ_GCV,MSIND,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0000 d
A,4100,EUR,GJ_GCV,MSIND,AT	8.97 	9.79 	9.7 	9.43 	8.49 	7.45 	7.43 	7.2728 	7.3744 	6.7652 	6.9750 	16.2281 
A,4100,EUR,GJ_GCV,MSIND,BA	9.8469 	12.2959 	12.2959 	11.2755 	11.2996 	8.0784 	9.5356 	9.9004 	10.1953 	11.0284 	9.8251 	12.6785 
A,4100,EUR,GJ_GCV,MSIND,BE	8.72 	9.17 	10.71 	8.42 	7.67 	6.63 	6.0939 	5.9066 	6.2508 	5.3557 	5.6431 	13.1242 
A,4100,EUR,GJ_GCV,MSIND,BG	7.9763 	10.0317 	9.8936 	9.4948 	8.6307 	6.0845 	5.7726 	6.8282 	8.2636 	6.1499 	6.5817 	20.6860 
A,4100,EUR,GJ_GCV,MSIND,CZ	8.3566 	8.9691 	8.9999 	8.4543 	7.9308 	6.9719 	6.2828 	6.7611 	7.7802 	6.6983 	6.6159 	18.5335 
A,4100,EUR,GJ_GCV,MSIND,DE	9.65 	9.27 	12.16 	11.35 	9.86 	8.3 	7.69 	7.6924 	7.7126 	6.8036 	6.6048 	12.3483 
A,4100,EUR,GJ_GCV,MSIND,DK	8.7981 	8.6524 	9.5948 	7.5697 	7.8222 	5.5683 	6.6056 	7.6181 	6.7460 	4.6664 	6.9471 	26.9947 
A,4100,EUR,GJ_GCV,MSIND,EE	7.31 	9.82 	9.94 	9.42 	9.48 	5.98 	6.62 	7.1631 	7.9881 	6.5654 	7.7661 	27.1281 
A,4100,EUR,GJ_GCV,MSIND,EL	: 	: 	13.27 	12.11 	9.93 	6.64 	6.73 p	7.2000 e	8.6763 	6.3478 	6.3170 	26.6470 
A,4100,EUR,GJ_GCV,MSIND,ES	8.36 	10.38 	10.65 	10.23 	9.56 	7.66 	7.429 	7.9078 	8.0566 	7.4751 	6.1621 	19.0023 
A,4100,EUR,GJ_GCV,MSIND,EU27_2020	8.8208 	9.7016 	10.6807 	10.0147 	9.1682 	7.6545 	7.1793 	7.3928 	7.8801 	6.9139 	6.6212 	16.3842 
A,4100,EUR,GJ_GCV,MSIND,FI	9.34 	10.88 	10.6 	10.06 	8.54 	7.15 	8.21 	10.6206 	12.2540 	9.0647 	10.8100 	32.2100 
A,4100,EUR,GJ_GCV,MSIND,FR	9.86 	10.51 	11.03 	10.36 	9.58 	7.92 	7.6892 	7.8003 	8.4896 	7.4488 	7.5368 	15.1082 
A,4100,EUR,GJ_GCV,MSIND,GE	: 	: 	: 	: 	: 	: 	: 	5.9300 	6.3814 	5.8773 	4.7814 	6.6255 
A,4100,EUR,GJ_GCV,MSIND,HR	11.2376 	11.8503 	12.6945 	11.408 	10.6853 	8.9766 	6.7104 	6.9596 	8.1402 	7.4890 	7.6287 	15.0569 
A,4100,EUR,GJ_GCV,MSIND,HU	8.2595 	11.5993 	10.9417 	10.6814 	9.7137 	8.3145 	6.6198 	6.2832 	7.5669 	6.8846 	5.7752 	15.5092 
A,4100,EUR,GJ_GCV,MSIND,IE	9.9 	9.76 	10.81 	10.45 	10.08 	8.02 	8.28 	8.4888 	8.6496 	6.9149 	7.9979 	17.0304 
A,4100,EUR,GJ_GCV,MSIND,IT	8.24 	10.58 	10.53 	9.58 	9.12 	8 	6.88 	7.3072 	8.2732 	7.2576 	6.3074 	19.6360 
A,4100,EUR,GJ_GCV,MSIND,LI	: 	: 	: 	12.6325 	14.1776 	12.098 	10.0577 	9.4743 	10.5164 	11.1037 	9.7335 	21.7392 
A,4100,EUR,GJ_GCV,MSIND,LT	9.7399 	12.4768 	12.2335 	11.4979 	7.79 	7.45 	6.7 	7.9858 	7.7945 	5.1462 	7.2236 	28.9637 
A,4100,EUR,GJ_GCV,MSIND,LU	11.58 	13.99 	14.05 	11.72 	10.71 	9.49 	8.85 	8.7517 	9.1746 	8.3124 	7.6947 	20.4714 
A,4100,EUR,GJ_GCV,MSIND,LV	8.1182 	9.9384 	9.9393 	9.24 	9.16 	6.96 	7.09 	7.9387 	8.2971 	6.8146 	6.0871 	19.4280 
A,4100,EUR,GJ_GCV,MSIND,MD	: 	: 	: 	: 	7.8018 	7.1186 	7.2927 	6.7206 	7.3501 	7.3980 	5.1641 	21.0460 
A,4100,EUR,GJ_GCV,MSIND,MK	10.2488 	12.0244 	10.6339 	10.2127 	9.6187 	6.2787 	7.2189 	7.5093 	8.9718 	6.7857 	6.5666 	25.1788 
A,4100,EUR,GJ_GCV,MSIND,NL	7.52 	8.01 	8.39 	8.12 	7.59 	6.29 	5.89 	6.0849 	6.1856 	5.3364 	5.7612 	14.9381 
A,4100,EUR,GJ_GCV,MSIND,PL	9.11 	9.359 	10.0622 	10.296 	10.238 	7.3637 	7.4212 	8.2532 	9.3669 	7.9949 	7.5342 	20.5441 
A,4100,EUR,GJ_GCV,MSIND,PT	9.38 	11.09 	11.46 	11.63 	11.42 	9.24 	7.52 	7.4048 	8.6291 	7.3083 	6.2999 	18.6612 
A,4100,EUR,GJ_GCV,MSIND,RO	4.2302 	5.2855 	5.7502 	5.9185 	5.7488 	5.3676 	7.1021 e	7.1824 e	8.6020 e	8.1700 e	6.5180 e	23.0398 e
A,4100,EUR,GJ_GCV,MSIND,RS	: 	: 	10.5336 	10.3881 	12.6573 	8.4032 	8.6168 	8.9075 	10.8464 	10.0742 	7.9192 	10.2278 
A,4100,EUR,GJ_GCV,MSIND,SE	11.705 	12.4562 	12.7947 	11.3934 	10.0313 	7.9259 	9.0821 	11.0479 	8.7466 	8.4111 	12.4196 	31.8052 e
A,4100,EUR,GJ_GCV,MSIND,SI	11.19 	14.8 	12.38 	10.64 	8.93 	8.18 	7.19 	7.6043 	8.5024 	6.8561 	7.0634 	17.4890 
A,4100,EUR,GJ_GCV,MSIND,SK	9.22 	10.6 	9.88 	9.91 	9.29 	8.11 	7.4748 	7.6680 	9.1350 	8.1430 	7.2580 	16.1410 
A,4100,EUR,GJ_GCV,MSIND,TR	5.7822 	6.7818 	8.2623 	6.555 	7.5261 	6.6187 	5.0315 	4.7541 	5.7577 	5.6665 	4.2581 	14.5607 
A,4100,EUR,GJ_GCV,MSIND,UA	: 	: 	: 	: 	: 	: 	7.2733 	6.8203 	7.1643 	4.2910 	6.0352 	: 
A,4100,EUR,GJ_GCV,MSIND,UK	6.4724 	8.5986 	9.3555 	9.8504 	9.4236 	7.6422 	6.5778 	6.8814 	7.2799 	6.9937 	: 	: 
